sl_no,project_name,agency,project_code,state,approval_date,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,source_page,report_month,source_report,report_date
610,Tumkur-Chitradurga-Davangere New Rail Line Project [191 km],South Western Railway [SWR] - II,705496,Karnataka,2013-10,2017-01,2019-03,2027-12,1876.0,1876.0,613.6,15.8,83,May 2026,FlashReport_May2026.pdf,2026-05
597,Tumkur-Chitradurga-Davangere New Rail Line Project [191 km],South Western Railway [SWR] - II,705496,Karnataka,2013-10,2017-01,2019-03,2027-12,1876.0,1876.0,602.36,16.0,88,June 2026,FlashReport_June_2026.pdf,2026-06
581,Tumkur-Chitradurg-Davangere 199.7 km,CAOC/SWR SWR mor,705496,Karnataka,2011-03,2017-11,2019-03,2027-12,1876.0,1801.01,676.71,22.0,83,July 2026,FlashReport_July_2026.pdf,2026-07
634,Wardha - Yavatmal Nanded Railway Line Project,Central Railways,705497,Maharashtra,2008-02,2013-04,2026-12,,3445.34,4030.69,3608.59,47.0,85,April 2026,FlashReport_April2026.pdf,2026-04
636,Wardha - Yavatmal Nanded Railway Line Project,Central Railways,705497,Maharashtra,2008-02,2013-04,2026-12,,3445.34,4030.69,4043.37,47.0,84,May 2026,FlashReport_May2026.pdf,2026-05
623,Wardha - Yavatmal Nanded Railway Line Project,Central Railways,705497,Maharashtra,2008-02,2013-04,2026-12,,3445.34,4030.69,4053.03,47.0,89,June 2026,FlashReport_June_2026.pdf,2026-06
599,Wardha - Yavatmal Nanded Railway Line Project,Central Railways,705497,Maharashtra,2008-02,2013-04,2026-12,,3445.34,4030.69,4053.03,47.0,84,July 2026,FlashReport_July_2026.pdf,2026-07
635,3rd Line Kalyan - Kasara [67.35 Kilometres],Central Railway,705498,Maharashtra,2015-09,2015-09,2026-12,2026-12,792.89,1395.79,1077.37,73.0,85,April 2026,FlashReport_April2026.pdf,2026-04
637,3rd Line Kalyan - Kasara [67.35 Kilometres],Central Railway,705498,Maharashtra,2015-09,2015-09,2026-12,2026-12,792.89,1395.79,1082.64,73.0,85,May 2026,FlashReport_May2026.pdf,2026-05
624,3rd Line Kalyan - Kasara [67.35 Kilometres],Central Railway,705498,Maharashtra,2015-09,2015-09,2026-12,2026-12,792.89,1395.79,1088.38,73.0,89,June 2026,FlashReport_June_2026.pdf,2026-06
600,Kalyan-Kasara - 3rd line 67.62 km,CAOC/CR CR mor,705498,Maharashtra,2015-09,2015-09,2026-12,2026-12,792.89,1395.5,1159.82,73.0,84,July 2026,FlashReport_July_2026.pdf,2026-07
636,3rd Line Wardha - Sewagram - Nagpur,Central Railway [CR] - II,705500,Maharashtra,2015-09,2016-05,2025-12,2026-10,540.02,916.53,835.39,88.0,85,April 2026,FlashReport_April2026.pdf,2026-04
638,3rd Line Wardha - Sewagram - Nagpur,Central Railway [CR] - II,705500,Maharashtra,2015-09,2016-05,2025-12,2026-10,540.02,916.53,842.32,88.0,85,May 2026,FlashReport_May2026.pdf,2026-05
625,3rd Line Wardha - Sewagram - Nagpur,Central Railway [CR] - II,705500,Maharashtra,2015-09,2016-05,2025-12,2026-10,540.02,916.53,842.78,88.0,89,June 2026,FlashReport_June_2026.pdf,2026-06
601,Wardha Sevagram-Nagpur - 3rd line 76.3 km,CAOC/CR CR mor,705500,Maharashtra,2015-09,2015-10,2025-12,2026-10,540.02,899.52,836.27,88.0,84,July 2026,FlashReport_July_2026.pdf,2026-07
637,3rd Line Wardha - Ballarshah [132 Kilometres],Central Railway [CR] - II,705502,Maharashtra,2016-03,2016-12,2025-12,2026-02,1384.72,2033.59,1813.52,98.0,85,April 2026,FlashReport_April2026.pdf,2026-04
639,3rd Line Wardha - Ballarshah [132 Kilometres],Central Railway [CR] - II,705502,Maharashtra,2016-03,2016-12,2025-12,2026-02,1384.72,2033.59,1829.64,86.0,85,May 2026,FlashReport_May2026.pdf,2026-05
626,3rd Line Wardha - Ballarshah [132 Kilometres],Central Railway [CR] - II,705502,Maharashtra,2016-03,2016-12,2025-12,2026-02,1384.72,2033.59,1841.71,86.0,89,June 2026,FlashReport_June_2026.pdf,2026-06
602,Wardha-Balharshah - 3rd line 132 km,CAOC/CR CR mor,705502,Maharashtra,2016-03,2016-05,2025-12,2026-02,1384.72,2603.11,1894.7,86.0,84,July 2026,FlashReport_July_2026.pdf,2026-07
638,Doubling of Daund Manmad Line [247.6 km],Central Railway,705504,Maharashtra,2017-10,2017-03,2025-12,2026-03,2081.27,3267.06,3077.28,92.0,86,April 2026,FlashReport_April2026.pdf,2026-04
640,Doubling of Daund Manmad Line [247.6 km],Central Railway,705504,Maharashtra,2017-10,2017-03,2025-12,2026-03,2081.27,3267.06,3105.38,92.0,85,May 2026,FlashReport_May2026.pdf,2026-05
627,Doubling of Daund Manmad Line [247.6 km],Central Railway,705504,Maharashtra,2017-10,2017-03,2025-12,2026-03,2081.27,3267.06,3111.8,92.0,89,June 2026,FlashReport_June_2026.pdf,2026-06
603,Daund - Manmad 247.50 km,CAOC/CR CR mor,705504,Maharashtra,2017-10,2018-11,2025-12,2026-03,2081.27,3554.74,3191.56,95.0,84,July 2026,FlashReport_July_2026.pdf,2026-07
639,4th Line Wardha - Nagpur [78.7 Kilometres],Central Railway [CR] - II,705505,Maharashtra,2017-04,2018-05,2025-12,2026-10,637.95,1214.69,1047.02,88.0,86,April 2026,FlashReport_April2026.pdf,2026-04
641,4th Line Wardha - Nagpur [78.7 Kilometres],Central Railway [CR] - II,705505,Maharashtra,2017-04,2018-05,2025-12,2026-10,637.95,1214.69,1049.42,88.0,85,May 2026,FlashReport_May2026.pdf,2026-05
628,4th Line Wardha - Nagpur [78.7 Kilometres],Central Railway [CR] - II,705505,Maharashtra,2017-04,2018-05,2025-12,2026-10,637.95,1214.69,1061.23,88.0,89,June 2026,FlashReport_June_2026.pdf,2026-06
604,Wardha-Nagpur - 4th line 78.70 km,CAOC/CR CR mor,705505,Maharashtra,2017-04,2017-06,2025-12,2026-10,637.95,1194.59,1090.49,88.0,84,July 2026,FlashReport_July_2026.pdf,2026-07
640,3rd Line Manmad - Jalgaon [160 Kilometres],Central Railway [CR] - II,705506,Maharashtra,2017-05,2018-04,2024-12,2025-08,1035.16,1870.0,1865.44,100.0,86,April 2026,FlashReport_April2026.pdf,2026-04
642,3rd Line Manmad - Jalgaon [160 Kilometres],Central Railway [CR] - II,705506,Maharashtra,2017-05,2018-04,2024-12,2025-11,1035.16,1870.0,1842.26,100.0,85,May 2026,FlashReport_May2026.pdf,2026-05
629,3rd Line Manmad - Jalgaon [160 Kilometres],Central Railway [CR] - II,705506,Maharashtra,2017-05,2018-04,2024-12,2025-11,1035.16,1870.0,1843.54,100.0,89,June 2026,FlashReport_June_2026.pdf,2026-06
605,3rd Line Manmad - Jalgaon [160 Kilometres],Central Railway [CR] - II,705506,Maharashtra,2017-05,2018-04,2024-12,2025-11,1035.16,1870.0,1843.54,100.0,84,July 2026,FlashReport_July_2026.pdf,2026-07
698,Itarsi - Nagpur Third Railway Line [280 km],Central Railway [CR] - II,705507,"Multi-States (Madhya Pradesh, Maharashtra)",2016-09,2016-09,2027-03,2027-12,2449.91,2506.68,2155.76,55.0,88,April 2026,FlashReport_April2026.pdf,2026-04
700,Itarsi - Nagpur Third Railway Line [280 km],Central Railway [CR] - II,705507,"Multi-States (Madhya Pradesh, Maharashtra)",2016-09,2016-09,2027-03,2027-12,2449.91,2506.68,2164.79,50.0,87,May 2026,FlashReport_May2026.pdf,2026-05
687,Itarsi - Nagpur Third Railway Line [280 km],Central Railway [CR] - II,705507,"Multi-States (Madhya Pradesh, Maharashtra)",2016-09,2016-09,2027-03,2027-12,2449.91,2506.68,2195.77,55.0,92,June 2026,FlashReport_June_2026.pdf,2026-06
650,Itarsi-Nagpur bal. 280 km,CAOC/CR CR mor,705507,"Multi-States (Madhya Pradesh, Maharashtra)",2016-09,2016-12,2027-03,2027-12,2449.91,2509.24,2290.12,55.0,86,July 2026,FlashReport_July_2026.pdf,2026-07
726,Bhadrak-Nergundi Third Line,East Coast Railway [ECoR] - II,705510,Odisha,2015-10,2015-04,2024-11,2026-01,1284.0,1284.0,1352.81,95.0,90,April 2026,FlashReport_April2026.pdf,2026-04
728,Bhadrak-Nergundi Third Line,East Coast Railway [ECoR] - II,705510,Odisha,2015-10,2015-04,2024-11,2026-01,1284.0,1284.0,1379.6,95.8,89,May 2026,FlashReport_May2026.pdf,2026-05
714,Bhadrak-Nergundi Third Line,East Coast Railway [ECoR] - II,705510,Odisha,2015-10,2015-04,2024-11,2026-01,1284.0,1284.0,1379.6,95.8,93,June 2026,FlashReport_June_2026.pdf,2026-06
674,Bhadrak-Nergundi - 3rd line 80 km,CAO/C/ECOR ECoR mor,705510,Odisha,2012-03,2016-09,2024-11,2026-01,1284.0,1600.0,1395.78,87.0,87,July 2026,FlashReport_July_2026.pdf,2026-07
675,Jagdalpur-Koraput,East Coast Railway [ECoR] - II,705511,"Multi-States (Chhattisgarh, Odisha)",2015-12,2016-03,2024-03,2026-12,1547.0,1547.0,1379.69,94.46,87,April 2026,FlashReport_April2026.pdf,2026-04
677,Jagdalpur-Koraput,East Coast Railway [ECoR] - II,705511,"Multi-States (Chhattisgarh, Odisha)",2015-12,2016-03,2024-03,2026-12,1547.0,1547.0,1387.24,94.94,86,May 2026,FlashReport_May2026.pdf,2026-05
664,Jagdalpur-Koraput,East Coast Railway [ECoR] - II,705511,"Multi-States (Chhattisgarh, Odisha)",2015-12,2016-03,2024-03,2026-12,1547.0,1547.0,1403.9,92.55,91,June 2026,FlashReport_June_2026.pdf,2026-06
632,Jagdalpur-Koraput 110.22 km,CAO/C/ECOR ECoR mor,705511,"Multi-States (Chhattisgarh, Odisha)",2015-12,2021-10,2024-03,2026-12,1547.0,1547.38,1382.17,90.0,85,July 2026,FlashReport_July_2026.pdf,2026-07
653,Doubling of Kottavalasa-Koraput Rail Line [189 KM],East Coast Railway [ECoR] - II,705512,"Multi-States (Andhra Pradesh, Odisha)",2015-12,2016-01,2022-03,2028-03,2500.0,2500.0,2163.97,73.0,86,April 2026,FlashReport_April2026.pdf,2026-04
655,Doubling of Kottavalasa-Koraput Rail Line [189 KM],East Coast Railway [ECoR] - II,705512,"Multi-States (Andhra Pradesh, Odisha)",2015-12,2016-01,2022-03,2028-03,2500.0,2500.0,2217.87,73.0,85,May 2026,FlashReport_May2026.pdf,2026-05
642,Doubling of Kottavalasa-Koraput Rail Line [189 KM],East Coast Railway [ECoR] - II,705512,"Multi-States (Andhra Pradesh, Odisha)",2015-12,2016-01,2022-03,2028-03,2500.0,2500.0,2217.87,73.0,90,June 2026,FlashReport_June_2026.pdf,2026-06
610,Kottavalasa-Koraput 189.278 km,CAO/C/ECOR ECoR mor,705512,"Multi-States (Andhra Pradesh, Odisha)",2015-12,2016-01,2022-03,2028-03,2500.0,3580.41,2300.04,74.0,84,July 2026,FlashReport_July_2026.pdf,2026-07
727,Koraput - Singapur Railway Doubling,East Coast Railway [ECoR] - II,705513,Odisha,2015-12,2015-12,2027-12,2028-03,2362.0,2362.0,1962.43,74.6,90,April 2026,FlashReport_April2026.pdf,2026-04
729,Koraput - Singapur Railway Doubling,East Coast Railway [ECoR] - II,705513,Odisha,2015-12,2015-12,2027-12,2028-03,2362.0,2362.0,1976.38,75.19,89,May 2026,FlashReport_May2026.pdf,2026-05
715,Koraput - Singapur Railway Doubling,East Coast Railway [ECoR] - II,705513,Odisha,2015-12,2015-12,2027-12,2028-03,2362.0,2362.0,2007.83,67.67,93,June 2026,FlashReport_June_2026.pdf,2026-06
675,Koraput-Singapur Road 164.56 km,CAO/C/ECOR ECoR mor,705513,Odisha,2015-12,2016-01,2027-12,2028-03,2362.0,2462.17,2093.47,56.0,87,July 2026,FlashReport_July_2026.pdf,2026-07
728,Jarapada- Budhapank with flyover at Talcher road 3rd and 4th Line,East Coast Railway [ECoR] - II,705514,Odisha,2015-11,2015-12,2018-11,2028-03,1000.0,810.02,455.8,59.0,90,April 2026,FlashReport_April2026.pdf,2026-04
730,Jarapada- Budhapank with flyover at Talcher road 3rd and 4th Line,East Coast Railway [ECoR] - II,705514,Odisha,2015-11,2015-12,2018-11,2028-03,1000.0,810.02,469.78,59.0,89,May 2026,FlashReport_May2026.pdf,2026-05
716,Jarapada- Budhapank with flyover at Talcher road 3rd and 4th Line,East Coast Railway [ECoR] - II,705514,Odisha,2015-11,2015-12,2018-11,2028-03,1000.0,810.02,478.83,59.0,93,June 2026,FlashReport_June_2026.pdf,2026-06
676,Jarapaada-Budhapank with flyover at Talcher Road - 3rd & 4th line 47 44 km,CAO/C/ECOR ECoR mor,705514,Odisha,2015-11,2016-05,2018-11,2028-03,1000.0,928.54,758.57,25.0,87,July 2026,FlashReport_July_2026.pdf,2026-07
729,3rd & 4th Railway Line Project from Salegaon to Budhapank via Rajathgarh.,East Coast Railway [ECoR] - II,705515,Odisha,2013-07,2015-12,2026-03,2026-03,1173.0,2092.0,2120.58,89.0,90,April 2026,FlashReport_April2026.pdf,2026-04
731,3rd & 4th Railway Line Project from Salegaon to Budhapank via Rajathgarh.,East Coast Railway [ECoR] - II,705515,Odisha,2013-07,2015-12,2026-03,2026-03,1173.0,2092.0,2138.09,90.0,89,May 2026,FlashReport_May2026.pdf,2026-05
717,3rd & 4th Railway Line Project from Salegaon to Budhapank via Rajathgarh.,East Coast Railway [ECoR] - II,705515,Odisha,2013-07,2015-12,2026-03,2026-03,1173.0,2092.0,2138.09,90.0,93,June 2026,FlashReport_June_2026.pdf,2026-06
677,Budhapank-Salegaon via Rajatgarh - 3rd & 4th line 85 85 km,CAO/C/ECOR ECoR mor,705515,Odisha,2015-12,2016-04,2026-03,2026-03,1173.0,3034.8,2213.72,86.0,87,July 2026,FlashReport_July_2026.pdf,2026-07
550,Samastipur-Darbhanga Doubling Railway Project,East Central Railway [ECR] - I,705526,Bihar,2015-11,2015-12,2025-03,2025-10,519.0,519.0,401.84,97.0,82,April 2026,FlashReport_April2026.pdf,2026-04
552,Samastipur-Darbhanga Doubling Railway Project,East Central Railway [ECR] - I,705526,Bihar,2015-11,2015-12,2025-03,2025-10,519.0,519.0,409.48,100.0,81,May 2026,FlashReport_May2026.pdf,2026-05
541,Samastipur-Darbhanga Doubling Railway Project,East Central Railway [ECR] - I,705526,Bihar,2015-11,2015-12,2025-03,2025-10,519.0,519.0,412.58,100.0,85,June 2026,FlashReport_June_2026.pdf,2026-06
541,Samastipur-Darbhanga 38 km,CAO/Con/North/MHX ECR mor,705526,Bihar,2015-11,2017-02,2025-03,2025-10,519.0,973.56,746.81,92.0,81,July 2026,FlashReport_July_2026.pdf,2026-07
551,Sagauli-Valmiknagar,East Central Railway [ECR] - I,705527,Bihar,2018-03,2017-03,2025-12,2025-12,1216.0,2222.0,2097.52,92.8,82,April 2026,FlashReport_April2026.pdf,2026-04
553,Sagauli-Valmiknagar,East Central Railway [ECR] - I,705527,Bihar,2018-03,2017-03,2025-12,2025-12,1216.0,2222.0,2102.51,93.0,81,May 2026,FlashReport_May2026.pdf,2026-05
542,Sagauli-Valmiknagar,East Central Railway [ECR] - I,705527,Bihar,2018-03,2017-03,2025-12,2025-12,1216.0,2222.0,2102.51,93.0,85,June 2026,FlashReport_June_2026.pdf,2026-06
542,Sagauli - Valmikinagar 109.7 km,CAO/Con/North/MHX ECR mor,705527,Bihar,2018-03,2018-02,2025-12,2025-12,1216.0,1558.77,1460.42,91.0,81,July 2026,FlashReport_July_2026.pdf,2026-07
552,Muzaffarpur-Sugauli,East Central Railway [ECR] - I,705528,Bihar,2018-03,2017-03,2024-06,2026-06,1586.0,1586.0,1494.93,99.0,82,April 2026,FlashReport_April2026.pdf,2026-04
554,Muzaffarpur-Sugauli,East Central Railway [ECR] - I,705528,Bihar,2018-03,2017-03,2024-06,2026-06,1586.0,1586.0,1499.23,99.0,81,May 2026,FlashReport_May2026.pdf,2026-05
543,Muzaffarpur-Sugauli,East Central Railway [ECR] - I,705528,Bihar,2018-03,2017-03,2024-06,2026-06,1586.0,1586.0,1509.67,99.0,85,June 2026,FlashReport_June_2026.pdf,2026-06
543,Muzaffarpur - Sagauli 100.6 km,CAO/Con/North/MHX ECR mor,705528,Bihar,2018-03,2019-03,2024-06,2026-06,1586.0,1744.84,1554.88,99.0,81,July 2026,FlashReport_July_2026.pdf,2026-07
670,Chhapra-Ballia Patch Doubling,North Eastern Railway [NER],705562,"Multi-States (Bihar, Uttar Pradesh)",2013-03,2015-12,2025-02,2026-05,963.0,1046.0,917.1,95.9,87,April 2026,FlashReport_April2026.pdf,2026-04
672,Chhapra-Ballia Patch Doubling,North Eastern Railway [NER],705562,"Multi-States (Bihar, Uttar Pradesh)",2013-03,2015-12,2025-02,2026-05,963.0,1046.0,918.18,96.0,86,May 2026,FlashReport_May2026.pdf,2026-05
659,Chhapra-Ballia Patch Doubling,North Eastern Railway [NER],705562,"Multi-States (Bihar, Uttar Pradesh)",2013-03,2015-12,2025-02,2026-05,963.0,1046.0,918.18,96.0,91,June 2026,FlashReport_June_2026.pdf,2026-06
626,Chhapra-Ballia - Patch doubling 65 km,CAOC/NER NER mor,705562,"Multi-States (Bihar, Uttar Pradesh)",2013-03,2015-12,2025-02,2026-05,963.0,1010.84,1000.05,95.0,85,July 2026,FlashReport_July_2026.pdf,2026-07
766,Burhwal Gonda 3rd line,North Eastern Railway [NER],705567,Uttar Pradesh,2017-11,2019-07,2025-03,2026-05,1016.0,1118.0,1050.11,88.4,91,April 2026,FlashReport_April2026.pdf,2026-04
768,Burhwal Gonda 3rd line,North Eastern Railway [NER],705567,Uttar Pradesh,2017-11,2019-07,2025-03,2026-05,1016.0,1118.0,1058.77,88.5,90,May 2026,FlashReport_May2026.pdf,2026-05
752,Burhwal Gonda 3rd line,North Eastern Railway [NER],705567,Uttar Pradesh,2017-11,2019-07,2025-03,2026-05,1016.0,1118.0,1058.77,88.5,95,June 2026,FlashReport_June_2026.pdf,2026-06
703,Burhwal - Gonda - 3rd line 61.72 km,CAOC/NER NER mor,705567,Uttar Pradesh,2017-11,2020-04,2025-03,2026-05,1016.0,1307.62,777.21,100.0,89,July 2026,FlashReport_July_2026.pdf,2026-07
538,Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km,Northeast Frontier Railway [NFR],705572,Assam,2016-09,2016-09,2026-03,2026-03,4060.0,4961.0,3797.35,95.13,81,April 2026,FlashReport_April2026.pdf,2026-04
540,Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km,Northeast Frontier Railway [NFR],705572,Assam,2016-09,2016-09,2026-03,2026-03,4060.0,4961.0,3831.06,95.16,80,May 2026,FlashReport_May2026.pdf,2026-05
529,Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km,Northeast Frontier Railway [NFR],705572,Assam,2016-09,2016-09,2026-03,2026-03,4060.0,4961.0,3831.06,95.16,85,June 2026,FlashReport_June_2026.pdf,2026-06
533,New Bongaigaon - Goalpara - Guwahati Kamakhya 176 km,CAO/C-III/NFR NFR mor,705572,Assam,2016-09,2017-06,2026-03,2026-03,4060.0,4983.94,3821.96,91.0,81,July 2026,FlashReport_July_2026.pdf,2026-07
572,Anand Vihar-Tilak Bridge 3rd & 4th line,CAO/C/NR,705583,Delhi,2013-03,2013-03,2023-03,2027-12,667.0,667.0,312.74,23.0,83,April 2026,FlashReport_April2026.pdf,2026-04
574,Anand Vihar-Tilak Bridge 3rd & 4th line,CAO/C/NR,705583,Delhi,2013-03,2013-03,2023-03,2027-12,667.0,667.0,324.17,23.0,82,May 2026,FlashReport_May2026.pdf,2026-05
562,Anand Vihar-Tilak Bridge 3rd & 4th line,CAO/C/NR,705583,Delhi,2013-03,2013-03,2023-03,2027-12,667.0,667.0,333.72,23.0,86,June 2026,FlashReport_June_2026.pdf,2026-06
556,Anand Vihar-Tilak Bridge - 3rd & 4th line 9.77 km,CAOC/NR NR mor,705583,Delhi,2012-06,2014-04,2023-03,2027-12,667.0,701.88,393.68,23.0,82,July 2026,FlashReport_July_2026.pdf,2026-07
767,Janghai-Pratapgarh- Amethi,CAO/C/II/NR,705588,Uttar Pradesh,2017-11,2017-03,2025-03,2026-03,722.0,1194.0,1691.52,70.0,91,April 2026,FlashReport_April2026.pdf,2026-04
769,Janghai-Pratapgarh- Amethi,CAO/C/II/NR,705588,Uttar Pradesh,2017-11,2017-03,2025-03,2026-03,722.0,1194.0,1729.27,70.0,91,May 2026,FlashReport_May2026.pdf,2026-05
753,Janghai-Pratapgarh- Amethi,CAO/C/II/NR,705588,Uttar Pradesh,2017-11,2017-03,2025-03,2026-03,722.0,1194.0,1729.27,70.0,95,June 2026,FlashReport_June_2026.pdf,2026-06
704,Janghai - Pratapgarh - Amethi 87 km,CAO/C-II/NR NR mor,705588,Uttar Pradesh,2017-11,2019-03,2025-03,2026-03,722.0,1528.83,1216.52,80.0,89,July 2026,FlashReport_July_2026.pdf,2026-07
704,Jhansi - Bina Third Railway Line [153 Km],CAO/C/NCR,705598,"Multi-States (Madhya Pradesh, Uttar Pradesh)",2016-09,2018-03,2022-03,2026-03,2002.0,2002.0,1939.11,96.0,89,April 2026,FlashReport_April2026.pdf,2026-04
706,Jhansi - Bina Third Railway Line [153 Km],CAO/C/NCR,705598,"Multi-States (Madhya Pradesh, Uttar Pradesh)",2016-09,2018-03,2022-03,2026-03,2002.0,2002.0,1942.49,96.0,88,May 2026,FlashReport_May2026.pdf,2026-05
692,Jhansi - Bina Third Railway Line [153 Km],CAO/C/NCR,705598,"Multi-States (Madhya Pradesh, Uttar Pradesh)",2016-09,2018-03,2022-03,2026-03,2002.0,2002.0,1960.31,98.0,92,June 2026,FlashReport_June_2026.pdf,2026-06
655,Jhansi-Bina - 3rd line 152.57 km,CAO/C/NCR NCR mor,705598,"Multi-States (Madhya Pradesh, Uttar Pradesh)",2016-09,2020-03,2022-03,2026-03,2002.0,2001.63,1943.61,98.0,86,July 2026,FlashReport_July_2026.pdf,2026-07
705,Jhansi-Khairar-Manikpur & Khirar-Bhimsen,North Central Railway,705608,"Multi-States (Madhya Pradesh, Uttar Pradesh)",2018-03,2019-04,2026-03,2026-03,4330.0,4330.0,2895.52,68.0,89,April 2026,FlashReport_April2026.pdf,2026-04
707,Jhansi-Khairar-Manikpur & Khirar-Bhimsen,North Central Railway,705608,"Multi-States (Madhya Pradesh, Uttar Pradesh)",2018-03,2019-04,2026-03,2026-03,4330.0,4330.0,3000.09,70.0,88,May 2026,FlashReport_May2026.pdf,2026-05
693,Jhansi-Khairar-Manikpur & Khirar-Bhimsen,North Central Railway,705608,"Multi-States (Madhya Pradesh, Uttar Pradesh)",2018-03,2019-04,2026-03,2026-03,4330.0,4330.0,3102.72,73.0,92,June 2026,FlashReport_June_2026.pdf,2026-06
656,Jhansi-Khairar-Manikpur & Khirar-Bhimsen,North Central Railway,705608,"Multi-States (Madhya Pradesh, Uttar Pradesh)",2018-03,2019-04,2026-03,2026-03,4330.0,4330.0,3102.72,73.0,86,July 2026,FlashReport_July_2026.pdf,2026-07
650,"Renigunta, Wadi & Gooty Bypass Railway Project",South Central Railway [SCR] - II,705610,"Multi-States (Andhra Pradesh, Karnataka)",2016-04,2016-04,2025-12,2026-03,302.0,543.0,635.72,89.03,86,April 2026,FlashReport_April2026.pdf,2026-04
652,"Renigunta, Wadi & Gooty Bypass Railway Project",South Central Railway [SCR] - II,705610,"Multi-States (Andhra Pradesh, Karnataka)",2016-04,2016-04,2025-12,2026-03,302.0,543.0,636.74,89.04,85,May 2026,FlashReport_May2026.pdf,2026-05
639,"Renigunta, Wadi & Gooty Bypass Railway Project",South Central Railway [SCR] - II,705610,"Multi-States (Andhra Pradesh, Karnataka)",2016-04,2016-04,2025-12,2026-03,302.0,543.0,636.74,89.04,90,June 2026,FlashReport_June_2026.pdf,2026-06
613,"Renigunta 9.60 km, Wadi 7.60 km & Gooty 3.8 km - Bypass",CAO/C/SCoR SCoR mor,705610,"Multi-States (Andhra Pradesh, Tamil Nadu)",2016-04,2016-08,2025-12,2026-03,302.0,850.74,421.36,50.0,84,July 2026,FlashReport_July_2026.pdf,2026-07
658,Kazipet-Vijayawada 3rd line with electrification [220 km],South Central Railway [SCR] - II,705612,"Multi-States (Andhra Pradesh, Telangana)",2013-03,2014-08,2025-02,2025-12,1953.0,3363.0,5178.65,95.01,86,April 2026,FlashReport_April2026.pdf,2026-04
660,Kazipet-Vijayawada 3rd line with electrification [220 km],South Central Railway [SCR] - II,705612,"Multi-States (Andhra Pradesh, Telangana)",2013-03,2014-08,2025-02,2025-12,1953.0,3363.0,5192.51,95.02,86,May 2026,FlashReport_May2026.pdf,2026-05
647,Kazipet-Vijayawada 3rd line with electrification [220 km],South Central Railway [SCR] - II,705612,"Multi-States (Andhra Pradesh, Telangana)",2013-03,2014-08,2025-02,2025-12,1953.0,3363.0,5192.51,95.02,90,June 2026,FlashReport_June_2026.pdf,2026-06
706,Third Line [new] between Kazipet - Balharshah with electrification [201.04 Km],South Central Railway [SCR] - II,705613,"Multi-States (Maharashtra, Telangana)",2016-09,2016-10,2025-01,2025-11,2595.0,3071.0,4141.26,94.7,89,April 2026,FlashReport_April2026.pdf,2026-04
708,Third Line [new] between Kazipet - Balharshah with electrification [201.04 Km],South Central Railway [SCR] - II,705613,"Multi-States (Maharashtra, Telangana)",2016-09,2016-10,2025-01,2025-11,2595.0,3071.0,4154.83,94.8,88,May 2026,FlashReport_May2026.pdf,2026-05
694,Third Line [new] between Kazipet - Balharshah with electrification [201.04 Km],South Central Railway [SCR] - II,705613,"Multi-States (Maharashtra, Telangana)",2016-09,2016-10,2025-01,2025-11,2595.0,3071.0,4154.83,94.8,92,June 2026,FlashReport_June_2026.pdf,2026-06
676,Jharsuguda-Bilaspur Fourth Railway Line [206 km],SECR,705616,"Multi-States (Chhattisgarh, Odisha)",2016-09,2016-09,2024-10,2026-03,2140.0,2979.0,2260.48,97.0,87,April 2026,FlashReport_April2026.pdf,2026-04
678,Jharsuguda-Bilaspur Fourth Railway Line [206 km],SECR,705616,"Multi-States (Chhattisgarh, Odisha)",2016-09,2016-09,2024-10,2026-03,2140.0,2979.0,2282.17,97.0,86,May 2026,FlashReport_May2026.pdf,2026-05
665,Jharsuguda-Bilaspur Fourth Railway Line [206 km],SECR,705616,"Multi-States (Chhattisgarh, Odisha)",2016-09,2016-09,2024-10,2026-03,2140.0,2979.0,2302.69,97.0,91,June 2026,FlashReport_June_2026.pdf,2026-06
633,Jharsuguda - Bilaspur - 4th line 206 km,CAOC/SECR SECR mor,705616,"Multi-States (Chhattisgarh, Odisha)",2016-09,2016-03,2024-10,2026-03,2140.0,2978.55,2540.98,88.0,85,July 2026,FlashReport_July_2026.pdf,2026-07
673,Rajnandgaon - Nagpur [Kalumna] Third Railway Line [228.30 km],South East Central Railway [SECR] - II,705617,"Multi-States (Chhattisgarh, Maharashtra)",2016-09,2016-12,2024-12,2026-06,3545.0,3545.0,3639.58,96.0,87,April 2026,FlashReport_April2026.pdf,2026-04
675,Rajnandgaon - Nagpur [Kalumna] Third Railway Line [228.30 km],South East Central Railway [SECR] - II,705617,"Multi-States (Chhattisgarh, Maharashtra)",2016-09,2016-12,2024-12,2026-06,3545.0,3545.0,3655.47,96.0,86,May 2026,FlashReport_May2026.pdf,2026-05
662,Rajnandgaon - Nagpur [Kalumna] Third Railway Line [228.30 km],South East Central Railway [SECR] - II,705617,"Multi-States (Chhattisgarh, Maharashtra)",2016-09,2016-12,2024-12,2026-06,3545.0,3545.0,3678.97,96.0,91,June 2026,FlashReport_June_2026.pdf,2026-06
